Date,Close,High,Low,Open,Volume
09/05/2013,14.00679016,14.19783215,13.97029936,14.10001185,398487600
10/05/2013,13.8902626,14.09694441,13.8139074,14.04358715,334852000
13/05/2013,13.94454193,14.0414435,13.84518875,13.845495,316948800
14/05/2013,13.61090755,13.9586469,13.55846984,13.91724961,447118000
15/05/2013,13.15062428,13.52320307,12.9516101,13.46678007,741613600
16/05/2013,13.32633781,13.42661218,12.84551315,12.97859844,603204000
17/05/2013,13.28585625,13.49529752,13.21686078,13.46340616,427904400
20/05/2013,13.58238792,13.67039605,13.18895732,13.24446077,451578400
21/05/2013,13.48211193,13.6605814,13.31468206,13.43580816,456022000
22/05/2013,13.53393745,13.74859232,13.43795628,13.61673284,443038400
23/05/2013,13.55816078,13.68143388,13.36343897,13.36834546,353021200
24/05/2013,13.6504612,13.66610022,13.50357685,13.51860257,276166800
28/05/2013,13.5366993,13.83322841,13.51860784,13.79612511,386145200
29/05/2013,13.64433098,13.72252694,13.47414077,13.49254011,330576400
30/05/2013,13.84763813,13.93717994,13.6308371,13.66579503,353519600
31/05/2013,13.79090786,14.01690772,13.78385437,13.87584778,384302800
03/06/2013,13.82127094,13.87156084,13.56859235,13.82157719,372352400
04/06/2013,13.7780304,13.93503482,13.71915414,13.8979299,292728800
05/06/2013,13.64923573,13.82126584,13.60630476,13.66579431,290589600
06/06/2013,13.4453125,13.70719063,13.31008108,13.66027356,416934000
07/06/2013,13.54804134,13.59189187,13.27083041,13.3852109,404535600
10/06/2013,13.45850182,13.77097615,13.39441283,13.63758463,450153200
11/06/2013,13.41894245,13.57717348,13.28769712,13.36190696,286112400
12/06/2013,13.25304604,13.5308703,13.23188721,13.47720679,265227200
13/06/2013,13.3686552,13.40483976,13.14756177,13.26255561,285832400
14/06/2013,13.18742657,13.37877563,13.13989534,13.35148368,271866000
17/06/2013,13.24721813,13.36067825,13.19692825,13.23004624,259414400
18/06/2013,13.24016857,13.33614975,13.19233192,13.23372921,195025600
19/06/2013,12.97123814,13.23679539,12.97123814,13.22882234,310940000
20/06/2013,12.78234005,13.06261591,12.73112979,12.85777569,357310800
21/06/2013,12.67991734,12.87923937,12.51432742,12.83293478,481118400
24/06/2013,12.34383297,12.53150212,12.20614746,12.49286433,480746000
25/06/2013,12.34659481,12.50482504,12.23006812,12.44073605,314162800
26/06/2013,12.20676327,12.41283096,12.13286048,12.38553902,367724000
27/06/2013,12.07521152,12.30857119,12.06785261,12.24294933,337246000
28/06/2013,12.15953922,12.27422517,11.92464589,12.00100193,578516400
01/07/2013,12.54867172,12.64220044,12.303353,12.34843096,391053600
02/07/2013,12.8329401,12.92922835,12.55634403,12.57136975,469865200
03/07/2013,12.90377426,12.97062437,12.80104748,12.9056142,240928800
05/07/2013,12.80012321,12.98012634,12.73664756,12.89119869,274024800
08/07/2013,12.72744942,12.90990582,12.59252422,12.8826147,298138400
09/07/2013,12.95130539,12.98656956,12.58424717,12.68298784,352584400
10/07/2013,12.90162849,13.02643531,12.82558034,12.86697763,281405600
11/07/2013,13.10278893,13.13222787,12.91512058,12.96970365,326292400
12/07/2013,13.07886887,13.17944945,12.98380809,13.11382679,279563200
15/07/2013,13.10739231,13.23066546,13.02643765,13.03287783,241917200
16/07/2013,13.19202518,13.2076634,13.00711551,13.07917754,216538000
17/07/2013,13.19539452,13.25396533,13.13130554,13.17668975,198990400
18/07/2013,13.23985958,13.33522661,13.20459541,13.28953615,218878800
19/07/2013,13.03103161,13.30793465,13.01263227,13.28094977,268721600
22/07/2013,13.07273674,13.17822382,13.04697849,13.16933122,207796400
23/07/2013,12.84827042,13.09266881,12.83968406,13.06323069,369395600
24/07/2013,13.50817776,13.63328998,13.34718724,13.45972699,591936800
25/07/2013,13.44654369,13.5354722,13.36405536,13.51400712,229493600
26/07/2013,13.52289677,13.52442964,13.31897529,13.34841341,200152400
29/07/2013,13.73141956,13.79888217,13.49867324,13.51707176,248057600
30/07/2013,13.90099621,14.01844246,13.77557609,13.79796155,309422400
31/07/2013,13.8767643,14.02426192,13.78170354,13.95220074,322957600
01/08/2013,14.00402832,14.00770819,13.89915455,13.97551139,206250800
02/08/2013,14.18372345,14.19323018,14.00341486,14.04481214,274783600
05/08/2013,14.39561939,14.43303056,14.17176651,14.24965458,318855600
06/08/2013,14.26682949,14.47044395,14.17238118,14.35177107,334857600
07/08/2013,14.25854588,14.32048949,14.16011147,14.22236133,298858000
08/08/2013,14.23014927,14.32552945,14.1356939,14.31812112,255777200
09/08/2013,14.02766037,14.2131736,14.00296758,14.15699459,266865200
12/08/2013,14.42615414,14.46597184,14.09494715,14.10204721,364434000
13/08/2013,15.11171627,15.26883083,14.44744946,14.53665766,881941200
14/08/2013,15.38736629,15.564853,15.22994341,15.36822893,756372400
